month,dayofmonth,hourofday,hour,mwh2123,mwh2120,mwh2137,mwh2059,mwh2141,mwh2142,mwh2129,mwh2158,mwh2130,mwh2146,mth2123,mth2120,mth2137,mth2059,mth2141,mth2142,mth2129,mth2158,mth2130,mth2146
6,27,5,54,14.87114167,15.55211667,16.18256667,15.2741,13.56705833,13.42629167,14.65816667,16.23565833,14.15113333,15.70651667,35.72333333,36.0775,35.58166667,35.57416667,35.52333333,35.43166667,35.7675,35.80333333,35.52,35.74416667
6,27,6,55,14.870325,15.55624167,16.15405833,15.22165,13.5781,13.43881667,14.61336667,16.270525,14.15115,15.77054167,35.7475,36.07166667,35.62833333,35.61416667,35.4975,35.51666667,35.80333333,35.85,35.45416667,35.70416667
6,27,7,56,14.8655,15.58369167,16.141975,15.25230833,13.58153333,13.47625833,14.6136,16.300575,14.14963333,15.79436667,35.73916667,36.065,35.625,35.59083333,35.43583333,35.48916667,35.87833333,35.8875,35.50666667,35.79
6,27,8,57,14.85458333,15.57139167,16.13671667,15.24684167,13.57993333,13.4764,14.61845,16.29895,14.14844167,15.78610833,35.75,36.11,35.60666667,35.55333333,35.44333333,35.42166667,35.8675,35.91416667,35.54666667,35.86833333
6,27,9,58,14.85723333,15.58635,16.14998333,15.25166667,13.58144167,13.47318333,14.64245833,16.303825,14.14774167,15.78166667,35.85416667,36.15,35.62916667,35.48083333,35.45083333,35.425,35.98333333,35.97666667,35.57833333,35.9475
6,27,10,59,14.862225,15.600175,16.16979167,15.27520833,13.58246667,13.49051667,14.680875,16.3169,14.1468,15.78489167,35.86,36.1475,35.65083333,35.49916667,35.37666667,35.36166667,36.0925,35.91,35.58916667,35.97916667
6,27,11,60,14.88060833,15.60786667,16.17990833,15.29516667,13.58565,13.50011667,14.70896667,16.33534167,14.14771667,15.799625,35.84333333,36.145,35.71083333,35.52333333,35.355,35.355,36.08083333,35.83,35.625,35.8875
6,27,12,61,14.8925,15.616075,16.1966,15.30738333,13.587,13.51020833,14.73229167,16.34379167,14.1473,15.79788333,35.8825,36.13416667,35.68333333,35.40916667,35.1325,35.24416667,36.04666667,35.845,35.585,35.83583333
6,27,13,62,14.89993333,15.62783333,16.20956667,15.32829167,13.58898333,13.51850833,14.75055,16.351475,14.14665,15.80195833,35.90083333,35.95833333,35.6275,35.52666667,35.15583333,35.16333333,35.96,35.70166667,35.53583333,35.69083333
6,27,14,63,14.90675833,15.630225,16.21868333,15.34886667,13.58790833,13.51878333,14.75989167,16.35130833,14.14431667,15.80211667,35.84333333,35.81916667,35.57416667,35.48916667,35.025,35.105,35.81583333,35.63333333,35.30166667,35.54833333
6,27,15,64,14.89960833,15.62439167,16.216625,15.35813333,13.585325,13.51744167,14.755225,16.34546667,14.14031667,15.79965833,35.7775,35.76583333,35.4925,35.51,35.00916667,35.1775,35.85416667,35.61,35.25666667,35.62416667
6,27,16,65,14.89614167,15.57456667,16.19069167,15.38341667,13.57896667,13.50346667,14.72999167,16.33723333,14.13513333,15.78005,35.8775,35.84333333,35.5975,35.6025,35.11083333,35.33166667,35.86083333,35.7325,35.25333333,35.75416667
